results/AGENT-COORDINATION-ARCHIVE-20260707.md,54,2026-07-06,attention-fwd,combine-unroll post-qkrope boundary recheck,s4096+s3072,PARKED,2105Z log contaminated (absolutes ~5.7ms; means contradicted medians),parked with no source change; reclaim needs clean local GPU repeat
results/AGENT-COORDINATION-ARCHIVE-20260707.md,5214,2026-07-05,scheduling,scheduler claim/rowop/cold-cap sweep post-33646d6,small,NO-GO,sweep no-go,GEMM route sweep found nano NN_MIN=16 candidate (-18.59; 435/480) promoted next
results/AGENT-COORDINATION-ARCHIVE-20260707.md,5224,2026-07-05,gemm-dx,nano NN WGMMA threshold-16 gate,nano,PROMOTED,combined -19.76 (479/480); routes (512;256;256) (512;768;256) splitK (512;256;8192) through WGMMA,commit 59d68b0; M=512 only; MK_WGMMA_NN_MIN=64 restores old
results/AGENT-COORDINATION-ARCHIVE-20260707.md,5238,2026-07-05,rowop,nano rechecks post-59d68b0,nano,NO-GO,RMS dx R4 +5.73 combined; attention chunk rechecks no-go/unstable,head-dX target-96 positive (-14.64; 492/520) promoted next entry
results/AGENT-COORDINATION-ARCHIVE-20260707.md,5249,2026-07-05,lm-head,nano head-dX target-96 gate,nano,PROMOTED,combined -17.06 (445/480); sk 12->6 96-vs-192 tiles,commit 85ec29f; other shapes unchanged
results/AGENT-COORDINATION-ARCHIVE-20260707.md,5262,2026-07-05,measurement,final post-85ec29f profile,nano,MEASUREMENT,nano total 979.9us; head dX down to 33.5us after target-96,no further env-route candidate promoted
results/AGENT-COORDINATION-ARCHIVE-20260707.md,5272,2026-07-05,attention-fwd,MK_ATTN_PIPE recheck @85ec29f,multi,NO-GO,nano +40.98; small +169.36; S2048 +120.14; S3072 +211.79; S4096 +303.20 zero wins,keep non-piped OP_ATTN_FWD_WG
results/AGENT-COORDINATION-ARCHIVE-20260707.md,5277,2026-07-05,attention-fwd,fwd direct register-store epilogue flag,multi,NO-GO,nano +2.40; small -7.65 order-noisy; S2048 +9.65; S3072 +14.38; S4096 +18.29,uncommitted flag reverted; staged smem epilogue stays default
results/AGENT-COORDINATION-ARCHIVE-20260707.md,5303,2026-07-05,scheduling,QA claim/cold rotation @85ec29f,nano+small,NO-GO,MK_CLAIM=132 confirmed (66 +345; 264 +50); COLD_CAP 8~=16 noise,small 3727 on WIP tree; session trajectory 5626->3727 (-34%)
results/AGENT-COORDINATION-ARCHIVE-20260707.md,5307,2026-07-05,attention-dkv,direct-atomic DKV epilogue default,multi,PROMOTED,nano -19.26; small -47.94; S2048 -41.76; S3072 -8.83; S4096 -20.90 combined paired; regs+stack unchanged,commit 3925ea6; flips Jul-4 probe no-go under newer code shape
results/AGENT-COORDINATION-ARCHIVE-20260707.md,5322,2026-07-05,measurement,post-DKV profile @3925ea6,multi,MEASUREMENT,DKV off nano on-path (78.4 off-path); leaders nano DQ 96.8; small GEMMNN 333.6 DKV 330.8; S2048 DQ 340.0; S3072 DQ 595.5; S4096 DQ 951.7,
results/AGENT-COORDINATION-ARCHIVE-20260707.md,5330,2026-07-05,attention-dq,dQ chunk recheck @3925ea6,multi,NO-GO,S2048 Cq2 -42 both orders already default; nano order-mixed; S3072/S4096 +70/+72 zero wins,keep S2048-only Cq=2 gate
results/AGENT-COORDINATION-ARCHIVE-20260707.md,5336,2026-07-05,gemm-dx,n128 NN threshold retune @3925ea6,small+s2048+s3072,NO-GO,min64 small +54/+66; S3072 -16.7/+19.4 order-sensitive; S2048 exact patch interleaved +1.94 (151/360) fails gate,source reverted; keep current thresholds
results/AGENT-COORDINATION-ARCHIVE-20260707.md,5351,2026-07-05,attention-dkv,DKV chunk recheck post-direct-atomic,small+s3072+s4096,NO-GO,DKV_C=2 small +58.42 (1/240); S3072 +12.26 (22/160); S4096 +19.34 (11/120),keep C=1
results/AGENT-COORDINATION-ARCHIVE-20260707.md,5362,2026-07-05,measurement,score refresh @3925ea6,nano+small,MEASUREMENT,nano 1056.4 vs 564.1 (1.87x); small 3748.2 vs 1885.4 (1.99x),post-DKV wins moved scoreboard below stale 1200/4114 table; ~2x structural gap remains
results/AGENT-COORDINATION-ARCHIVE-20260707.md,5369,2026-07-05,executor,executor mode recheck @3925ea6,nano+small,NO-GO,df2 +229.09/+447.52; ws +82.24/+225.68 zero wins,keep df; next target n128 Drow exclusion
results/AGENT-COORDINATION-ARCHIVE-20260707.md,5376,2026-07-05,gemm-dw,n128 WGMMA for fused Drow epilogue,small+s2048+s3072+s4096,NO-GO,small +80.42; S2048 +37.04; S3072 +38.02; S4096 +36.82 combined paired despite tile halving,source reverted; keep 64-col WGMMA Drow route
results/AGENT-COORDINATION-ARCHIVE-20260707.md,5387,2026-07-05,rowop,s4096 RMS dx R4 narrow gate attempt,s4096,NO-GO,recheck -8.85 combined promising but patched default-vs-old +2.45 (145/360) rejected,source reverted to 3925ea6; keep S4096 R2
results/AGENT-COORDINATION-ARCHIVE-20260707.md,5406,2026-07-05,precision,attention fwd LSE fast-log default,multi,PROMOTED,opt-in small -13.92 (219/240) S2048 -12.21 S4096 -11.28 nano neutral; default-vs-old nano -5.84 small -7.58 S2048 -8.34 S4096 -4.75; scores 1060.7/561.2 and 3738.7/1908.5,MK_ATTN_FAST_LOG=0 restores precise logf
results/AGENT-COORDINATION-ARCHIVE-20260707.md,5426,2026-07-05,precision,CE fwd fast-log,multi,NO-GO,nano +1.55 (158/360); small +1.26 (116/240); S2048 -2.91; S4096 -8.37 not globally promotable,CE op cannot split nano from S4096; keep precise logf; source reverted; NOTES record only
results/AGENT-COORDINATION-ARCHIVE-20260707.md,5439,2026-07-05,measurement,post-aflog profile @34d6635,nano+small,MEASUREMENT,nano 958.5 (DQ 83.6); small 3644.0 (DKV 363.6; GEMMNN 311.8),extends into MK_SWIGLU_RCP_RN candidate
results/AGENT-COORDINATION-ARCHIVE-20260707.md,5447,2026-07-05,precision,SWIGLU __frcp_rn reciprocal,multi,NO-GO,global helps small -16.22 (210/240) but nano +6.74 S2048 +0.30 S4096 +20.16 (2/120); small-only gated still rejected (nano +2.98 small -4.11 S2048 +3.18 S4096 +18.02),keep division form; source reverted; NOTES record only
results/AGENT-COORDINATION-ARCHIVE-20260707.md,5461,2026-07-05,measurement,QA trajectory @970a4d5,nano+small,MEASUREMENT,small 3687 nano 958 bare defaults (~1.94x/1.52x vs flash); session start 5626/1468; 1000-step df soak clean,nano under 1000
results/AGENT-COORDINATION-ARCHIVE-20260707.md,5469,2026-07-05,precision,MK_ATTN_FAST_INV output-norm reciprocal,nano,NO-GO-CORRECTNESS,per-step grad parity in tolerance but 40-step SGD sanity only 9.0496->7.1534 (fails >2.0 loss-drop gate),source reverted; keep division in ATTN_FWD_WG epilogue
results/AGENT-COORDINATION-ARCHIVE-20260707.md,5482,2026-07-05,scheduling,MK_CLAIM sweep @f9cc513,multi,NO-GO,132 best; nano 160 noise -1.44; small 264 +37.28; S2048 264 +25.01; S4096 160 +3.92 / 264 +115.86,keep MK_CLAIM=132; NOTES record only
results/AGENT-COORDINATION-ARCHIVE-20260707.md,5493,2026-07-05,scheduling,mid-S cold cap48 retune,small+s1024,PROMOTED,small cap48 vs cap33 -2.7 (60/100); S1024 -1.9 (67/120); scores small 3757.8 vs 1887.1 and S1024 1456.3 vs 778.1,commit d6bbf0d; caps 16 / 48 / uncapped by S; long-S alternatives unpromoted
